,list_name,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
1,Chillax Dance Mix,2mCF8L0brIs88eH6Kf2h9p,Fast Car,Jonas Blue,68.0,2015-12-04,0.57,0.299,113.945,0.052,0.484,0.0,0.644,212424.0,-6.994,0.527,1.0,9.0
3,Chillax Dance Mix,2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,86.0,2019-07-26,0.751,0.106,117.948,0.0874,0.177,6.43e-05,0.88,157606.0,-4.258,0.884,0.0,7.0
4,Chillax Dance Mix,0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,77.0,2016-05-06,0.714,0.0843,101.969,0.111,0.0353,8.42e-06,0.664,197933.0,-6.645,0.71,0.0,7.0
5,Chillax Dance Mix,4WxU1gDVmoH6gstgR0MT78,Lean On,Major Lazer,42.0,2015-06-01,0.809,0.565,98.007,0.0625,0.00346,0.00123,0.723,176561.0,-3.081,0.274,0.0,7.0
6,Chillax Dance Mix,66wF9HWqR8RpQ47tiVQpgx,Last Hurrah - David Guetta Remix,Bebe Rexha,58.0,2019-04-19,0.712,0.21,91.033,0.0528,0.105,1.82e-06,0.683,191868.0,-6.954,0.59,0.0,11.0
7,Chillax Dance Mix,4GSDkZt7GcmzBWmsMcpaVO,Dancing In The Moonlight (feat. NEIMY),Jubël,77.0,2018-06-22,0.615,0.187,119.843,0.0644,0.27,0.0,0.659,164010.0,-5.865,0.193,0.0,11.0
8,Chillax Dance Mix,5c0lWlmIyCq7hzBhpZasYL,Weekend Vibe,Jubël,69.0,2021-01-15,0.742,0.186,110.026,0.0496,0.00912,1.37e-06,0.688,166909.0,-6.363,0.74,1.0,5.0
9,Chillax Dance Mix,2F83FxNVkK6PPMHuYnwyVc,Let It Be Me (feat. Ava Max),David Guetta,67.0,2018-09-14,0.529,0.181,102.048,0.0505,0.128,0.0,0.743,172933.0,-6.187,0.438,0.0,7.0
10,Chillax Dance Mix,3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,70.0,2019-04-19,0.705,0.131,121.799,0.079,0.381,0.000116,0.591,215316.0,-6.519,0.27,0.0,9.0
14,Chillax Dance Mix,2jGOQqWZKjy6A64kWIcdIs,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",Felix Jaehn,51.0,2018-02-16,0.722,0.117,109.992,0.0377,0.077,4.54e-06,0.809,179565.0,-4.953,0.538,1.0,7.0
15,Chillax Dance Mix,0m6M0TRGs7dOqZAryYcwiH,Hot2Touch,Felix Jaehn,62.0,2018-02-16,0.718,0.155,121.993,0.0404,0.000754,3.23e-05,0.751,160826.0,-5.289,0.854,0.0,1.0
16,Chillax Dance Mix,5riZ2wSbbVmLIj2xGcMOiD,Cheerleader - Felix Jaehn Remix / Radio Edit,OMI,14.0,2018-02-16,0.634,0.107,117.986,0.0328,0.16,9.81e-05,0.798,182160.0,-6.17,0.533,1.0,4.0
17,Chillax Dance Mix,7uM7YZwNZqdDMG0NfGhmux,"Jennie (feat. R. City, Bori)",Felix Jaehn,62.0,2018-02-16,0.798,0.0808,118.071,0.183,0.0856,0.0,0.799,184231.0,-5.407,0.594,1.0,11.0
18,Chillax Dance Mix,3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,74.0,2018-02-16,0.566,0.0698,117.971,0.0311,0.672,0.000197,0.778,186147.0,-6.959,0.479,0.0,2.0
20,Chillax Dance Mix,2fCCoGXcA2j9fFhvfRqfVQ,Masterpiece,OMI,46.0,2018-08-17,0.623,0.0559,113.046,0.066,0.461,6.73e-05,0.854,180875.0,-5.39,0.822,1.0,2.0
21,Chillax Dance Mix,7FjZU7XFs7P9jHI9Z0yRhK,So Close,NOTD,74.0,2018-11-02,0.872,0.103,125.03,0.0666,0.121,7.08e-06,0.7,190302.0,-5.896,0.761,1.0,10.0
22,Chillax Dance Mix,73WJ6rYbtFi0Z2T4hPS1iN,Drink About,Seeb,56.0,2018-04-20,0.745,0.257,99.995,0.0649,0.147,0.0,0.629,182265.0,-2.936,0.496,1.0,6.0
23,Chillax Dance Mix,2r9hCNjupNy2C2g3r6SNz6,Strongest (Alan Walker Remix),Ina Wroldsen,67.0,2017-12-01,0.787,0.124,92.022,0.0734,0.0785,6.46e-06,0.722,210286.0,-4.013,0.852,1.0,0.0
24,Chillax Dance Mix,1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,75.0,2018-12-21,0.747,0.219,105.943,0.0323,0.269,0.0,0.737,192453.0,-4.818,0.447,1.0,10.0
25,Chillax Dance Mix,4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),Marshmello,71.0,2021-05-21,0.738,0.118,119.976,0.0403,0.00226,4.41e-06,0.721,154983.0,-4.77,0.637,1.0,7.0
26,Chillax Dance Mix,3DGar7krWlmrXRFHBcQF6z,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,67.0,2018-06-22,0.765,0.231,109.989,0.0621,0.151,0.0,0.734,163636.0,-5.562,0.518,1.0,7.0
27,Motivation Mix,4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,81.0,2011-06-17,0.939,0.298,129.024,0.161,0.191,0.0,0.671,252307.0,-3.206,0.53,1.0,8.0
28,Motivation Mix,2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Pitbull,81.0,2014-11-21,0.802,0.694,124.022,0.0583,0.0921,0.0,0.721,229360.0,-5.797,0.724,1.0,1.0
30,Motivation Mix,0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),Pitbull,77.0,2012,0.758,0.341,135.956,0.158,0.039,0.0,0.673,229507.0,-3.632,0.542,1.0,7.0
31,Motivation Mix,6KigD0mlF4VGDYiSEzAyYw,Fight Back,NEFFEX,76.0,2018-11-30,0.946,0.0825,139.943,0.261,0.094,6.63e-05,0.716,200571.0,-3.412,0.587,1.0,1.0
32,Motivation Mix,40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",G-Eazy,76.0,2015-12-04,0.674,0.158,111.995,0.0959,0.0184,0.0,0.756,251467.0,-6.518,0.389,0.0,0.0
33,Motivation Mix,0Oa9mHOnH14GZ4toWwkf4c,Good Life (with G-Eazy & Kehlani),G-Eazy,65.0,2017-03-17,0.778,0.0563,168.073,0.233,0.00638,0.0,0.572,225520.0,-5.208,0.54,1.0,1.0
34,Motivation Mix,4NctFqJyGAqurHFEUQvWgR,Stronger (feat. Kesha),Sam Feldt,71.0,2021-01-29,0.672,0.097,104.987,0.0436,0.36,0.0,0.648,173714.0,-7.902,0.435,1.0,1.0
36,Motivation Mix,01TuObJVd7owWchVRuQbQw,#thatPOWER,will.i.am,69.0,2013-01-01,0.608,0.0748,127.999,0.0584,0.00112,7.66e-05,0.797,279507.0,-6.096,0.402,0.0,6.0
37,Adventure,2bCBowfjQbsT6jXEqpGqDx,"Geronimo - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",Sheppard,35.0,2015-12-11,0.763,0.138,142.037,0.0818,0.378,0.002,0.704,217653.0,-6.343,0.468,1.0,7.0
38,Adventure,0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,85.0,2014-01-01,0.835,0.249,125.983,0.0433,0.0166,0.0,0.527,176658.0,-5.298,0.654,1.0,6.0
39,Adventure,2qHiyBpxyOXnRGG3t2iE96,"Gone, Gone, Gone",Phillip Phillips,62.0,2012-01-01,0.642,0.114,118.002,0.038,0.129,0.0,0.664,209693.0,-5.961,0.501,1.0,6.0
40,Adventure,3IQF4xCQUPicbA4hWfTxPo,I Lived,OneRepublic,71.0,2013-01-01,0.851,0.271,119.987,0.0446,0.0683,0.0,0.593,234547.0,-5.456,0.344,1.0,9.0
41,Adventure,1obisQNOcikRvTdStbW3pG,Go Big Or Go Home,American Authors,61.0,2016-07-01,0.875,0.0897,122.008,0.0426,0.00939,0.0,0.665,169027.0,-4.272,0.66,1.0,1.0
43,HIIT,4DnKcKgI62poB2usPeVdkf,Sleep Deprived,Lvly,36.0,2019-01-11,0.937,0.13,128.043,0.0707,0.00392,0.000329,0.746,198529.0,-4.16,0.472,0.0,11.0
46,HIIT,2UcK3xgGDxPSyKzKqyPv0s,Girl in the Mirror,Bebe Rexha,65.0,2019-04-26,0.69,0.296,106.966,0.0352,0.0615,0.0,0.748,158066.0,-3.053,0.513,1.0,2.0
48,HIIT,3EO4XZNWf9CuOqYLsm32OJ,Bruised Not Broken (feat. MNEK & Kiana Ledé),Matoma,11.0,2019-08-02,0.573,0.324,110.006,0.0484,0.109,0.0,0.764,160909.0,-4.385,0.685,1.0,6.0
50,HIIT,6Tdy6tOHVEyBmlObZpGJJc,Beside You (feat. Georgia Ku),Matoma,59.0,2020-05-07,0.794,0.0664,123.02,0.0945,0.0801,0.0,0.634,176640.0,-6.363,0.67,1.0,6.0
51,HIIT,0NFzM7qIEu1LI4pHgP2hNy,Coming To Get You,Lvly,42.0,2019-01-11,0.786,0.114,99.982,0.0466,0.175,0.0,0.657,205225.0,-4.924,0.569,0.0,11.0
52,HIIT,1oIdcFtf58sZbS7QyZQJ2P,Run Free,Deep Chills,63.0,2017-08-18,0.69,0.414,100.002,0.0345,0.202,3.27e-06,0.727,170562.0,-4.559,0.699,1.0,7.0
55,HIIT,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,82.0,2018-01-23,0.657,0.112,107.01,0.0449,0.171,0.0,0.753,184732.0,-3.061,0.437,1.0,7.0
57,HIIT,6llBOJ6HLHvlVnKeZqhXk8,Rumors,Jake Miller,58.0,2015-07-08,0.712,0.106,120.022,0.0465,0.134,0.0,0.883,186103.0,-4.769,0.825,0.0,1.0
59,HIIT,2vIkEXi009Hxc1K3oMsLqR,Bodytalk (STFU),Blasterjaxx,58.0,2020-12-18,0.808,0.22,140.055,0.0579,0.00307,0.0624,0.773,145821.0,-6.444,0.418,1.0,0.0
60,HIIT,0FJw1Pg9xXCxbcyQMI6GAe,My Way (Steve Aoki & Aloe Blacc),Steve Aoki,65.0,2020-12-23,0.82,0.134,169.895,0.0774,0.11,0.0,0.585,197647.0,-4.428,0.396,1.0,10.0
61,HIIT,03As1KdZnUfricQT09te8C,Gizmo,Syn Cole,54.0,2019-08-09,0.793,0.106,124.039,0.0336,0.23,0.237,0.788,191613.0,-3.568,0.752,1.0,7.0
63,HIIT,7zx1i0jGcFwMBurajgKlO7,Black Magic,Jonasu,64.0,2020-12-18,0.634,0.276,124.074,0.163,0.0564,0.0,0.812,174194.0,-4.96,0.463,1.0,8.0
66,HIIT,3HTySujYyWa1nZdfiZVZs0,I Luv U (with R3HAB),Sofia Carson,58.0,2020-03-20,0.558,0.116,96.072,0.0641,0.0532,2.14e-05,0.875,150938.0,-6.164,0.44,1.0,1.0
68,HIIT,4ZVSSE2JUJwsyTukDwjoT6,Sign,DEAMN,26.0,2018-02-13,0.903,0.217,108.914,0.0282,0.0247,0.00167,0.705,191560.0,-4.016,0.472,1.0,3.0
70,HIIT,4j1fFJvUcQxMrLEMBHV9NQ,So Sick (feat. blackbear) [Martin Jensen Remix],Kiiara,60.0,2020-11-13,0.491,0.0689,121.984,0.0821,0.121,9.69e-06,0.803,165492.0,-7.196,0.589,1.0,6.0
71,HIIT,4mxNQAc4gSzfHRhntP1b5E,Drive My Car,DEAMN,45.0,2018-02-13,0.834,0.253,104.97,0.0262,0.0998,0.0,0.668,196571.0,-3.694,0.56,1.0,5.0
74,HIIT,4o7zeDjEoPALOH9ZN483Oj,I'm Going Like,Hallman,56.0,2019-01-04,0.803,0.16,125.986,0.0368,0.0207,0.803,0.659,185681.0,-6.945,0.336,1.0,4.0
75,Hip-hop/Rap,49NWFeDYeNBx55vxxmwCQe,45 Man - Bonus Track,Rak-Su,14.0,2017-04-03,0.883,0.0818,140.058,0.276,0.0223,0.0,0.664,206530.0,-5.671,0.695,1.0,1.0
76,Hip-hop/Rap,38JE3O2HocFNvtljgtlNKv,Antidote - Radio Edit,Swedish House Mafia,54.0,2011-12-16,0.859,0.135,128.03,0.111,0.00645,0.0282,0.648,177250.0,-4.974,0.633,1.0,7.0
77,Hip-hop/Rap,5tC8ycFXQvYppqL8bzN0LU,You're Ma Cherie - DJ Antoine vs Mad Mark 2K13 Radio Edit,DJ Antoine,52.0,2013-01-25,0.675,0.424,127.931,0.287,0.0421,1.49e-05,0.754,191550.0,-4.728,0.832,0.0,5.0
78,Hip-hop/Rap,62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),Pitbull,75.0,2011-06-17,0.855,0.335,120.05,0.0499,0.0124,0.0,0.67,227280.0,-3.035,0.648,0.0,0.0
80,Hip-hop/Rap,0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),Pitbull,77.0,2012,0.758,0.341,135.956,0.158,0.039,0.0,0.673,229507.0,-3.632,0.542,1.0,7.0
81,Hip-hop/Rap,5MLQWQRbUmx388EMW04YQY,Feelin' Myself,will.i.am,43.0,2013-01-01,0.533,0.138,96.453,0.156,0.0293,0.0,0.859,253547.0,-8.59,0.514,0.0,6.0
82,Jason derulo,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,76.0,2017-02-23,0.817,0.187,98.064,0.109,0.075,0.0,0.696,216409.0,-3.862,0.782,1.0,1.0
83,Jason derulo,4fINc8dnfcz7AdhFYVA4i7,It Girl,Jason Derulo,72.0,2011-09-16,0.718,0.104,91.993,0.0605,0.0165,0.0,0.668,192200.0,-4.736,0.345,0.0,1.0
84,Jason derulo,2z4pcBLQXF2BXKFvd0BuB6,Tip Toe (feat. French Montana),Jason Derulo,67.0,2017-11-10,0.709,0.094,98.062,0.0714,0.0233,0.0,0.845,187521.0,-4.547,0.62,0.0,10.0
85,Jason derulo,6zKrj4SomgfbvsfuTAuElE,Want to Want Me,Jason Derulo,42.0,2015-06-01,0.68,0.109,114.025,0.0629,0.00906,0.0,0.775,207719.0,-5.508,0.656,0.0,0.0
86,Jason derulo,5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),Jason Derulo,71.0,2013-09-10,0.652,0.307,100.315,0.232,0.0348,0.0,0.76,177685.0,-7.321,0.759,1.0,6.0
87,Jason derulo,5Xn4IyTtW6FUGIUyWjbUHG,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,65.0,2018-08-24,0.904,0.189,103.028,0.0739,0.0776,0.0,0.643,195419.0,-3.694,0.481,1.0,0.0
88,Jason derulo,7yPcAO4F6ozQi6lTi3n3Ai,Talk with Your Body,Jason Derulo,39.0,2019-11-08,0.76,0.267,102.989,0.124,0.112,0.0,0.793,188750.0,-3.704,0.819,0.0,0.0
89,Jason derulo,5YHR8wBR5jXfGtP766NiAT,If It Ain't Love,Jason Derulo,60.0,2016-04-01,0.843,0.344,128.63,0.316,0.0487,0.0,0.503,203105.0,-4.991,0.778,0.0,10.0
90,Jason derulo,7iwhbx1YQcQ675DTj6AmAb,Mamacita (feat. Farruko),Jason Derulo,59.0,2019-07-05,0.787,0.0917,191.772,0.34,0.303,0.0,0.593,204064.0,-3.67,0.495,1.0,11.0
91,Jason derulo,6jizk5lOUnfpaZXYMdfeC6,Trumpets,Jason Derulo,68.0,2013-09-10,0.703,0.0962,81.897,0.236,0.563,0.0,0.627,217307.0,-4.884,0.64,1.0,0.0
92,Jason derulo,1EujTZPE2yBYbbwu2vWXvr,Bubblegum (feat. Tyga),Jason Derulo,49.0,2013-09-10,0.633,0.112,109.011,0.34,0.0718,0.0,0.856,205972.0,-6.429,0.77,0.0,11.0
93,Jason derulo,2SHsNfrHj4iDOVJuDwclPd,Let’s SHUT UP & DANCE,LAY,44.0,2019-02-22,0.893,0.0331,110.051,0.209,0.042,0.000271,0.765,208261.0,-2.891,0.715,0.0,6.0
94,Jason derulo,29QrzCnJ8r5aPamLBADZLx,Too Hot,Jason Derulo,56.0,2019-08-27,0.856,0.201,95.026,0.0722,0.0678,0.0,0.751,158053.0,-3.225,0.836,1.0,7.0
95,Jason derulo,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jawsh 685,85.0,2020-06-11,0.481,0.269,150.076,0.0803,0.234,0.0,0.767,171375.0,-8.52,0.761,0.0,0.0
96,Jason derulo,5DV4ZSCqbFv74ui3ZhimXo,Coño,Jason Derulo,72.0,2020-07-03,0.528,0.105,100.037,0.181,0.000554,0.0101,0.899,111852.0,-5.442,0.456,1.0,9.0
97,Jason derulo,59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,Jason Derulo,85.0,2020-07-22,0.711,0.0876,112.985,0.041,0.0332,0.0,0.789,190306.0,-4.248,0.753,1.0,2.0
98,Jason derulo,2tUQhON1H3N4f6fwASEuyB,Don't Cry For Me (with Jason Derulo) - Acoustic,Alok,42.0,2020-08-07,0.441,0.168,104.031,0.0294,0.159,0.0,0.677,158000.0,-7.477,0.402,0.0,1.0
99,Jason derulo,4chrflBZTqRjZhOTp7zaXx,Don't Cry For Me (with Jason Derulo),Alok,43.0,2020-08-07,0.587,0.102,104.046,0.0466,0.105,0.0,0.69,155769.0,-6.53,0.278,0.0,1.0
100,Jason derulo,6eUncuJutsFi9BGO1JaBHh,If I'm Lucky,Jason Derulo,58.0,2017-08-31,0.634,0.0686,112.048,0.161,0.00413,0.0,0.897,212014.0,-6.264,0.506,0.0,4.0
101,Jason derulo,4Lt6GXGzYsa1tgkv3nGSTm,Love Not War (The Tampa Beat),Jason Derulo,83.0,2020-11-20,0.85,0.23,98.013,0.0642,0.105,0.0,0.738,192921.0,-3.049,0.865,1.0,8.0
